Nothing serious in this case because I would not have started before anyway.	Ничего серьезного в этом случае, потому что я не был бы в любом случае, прежде чем началась.
Replica Rolex Datejust 36 mm Watch: White Rolesor - combination of 904L steel and 18 ct white gold – M116244-0020	Реплика Rolex Datejust 36 мм Смотреть: Белый Rolesor - сочетание 904L стали и 18-каратного белого золота - M116244 -0020
In truth, industry experience simply does not support any of the commonly stated reasons for choosing copper over aluminum.	По правде говоря, опыт работы в отрасли просто не поддерживает ни одну из наиболее часто заявляемых причин выбора меди в сравнении с алюминием.
If someone says “oh, that is a terrible concept, what else have you got” they are not calling you terrible.	Если кто-то скажет: «О, это страшная концепция, что еще у вас есть», они не называют вас ужасными.Это плохая идея, большое дело.
Prof. Schwartz is well known for his works in the area of programming languages, parallel programming, artificial intelligence, and as a creator of SETL.	Профессор Шварц широко известен своими работами в области языков программирования, параллельного программирования, искусственного интеллекта, как создатель языка Сетл.
I also have a younger brother called Bruno who is 13 and still at school back in Croatia.	У меня также есть младший брат Бруно, которому сейчас только 13 лет, и он учится в школе в Хорватии.
At the 13th meeting, on 22 October, the representative of Mali, on behalf of the States Members of the United Nations that are members of the Economic Community of West African States and Belgium, Colombia, Congo, Croatia, Cyprus, Denmark, Finland, France, Georgia, Greece, Ireland, Luxembourg, Madagascar, Mozambique, the Netherlands, Norway, Portugal, Slovenia, Sweden and Zambia, introduced a draft resolution entitled “Assistance to States for curbing the illicit traffic in small arms and collecting them” (A/C.1/58/L.51).	На 13-м заседании 22 октября представитель Мали от имени государств — членов Организации Объединенных Наций, являющихся членами Экономического сообщества западноафриканских государств, а также Бельгии, Греции, Грузии, Дании, Замбии, Ирландии, Кипра, Колумбии, Конго, Люксембурга, Мадагаскара, Мозамбика, Нидерландов, Норвегии, Португалии, Словении, Финляндии, Франции, Хорватии и Швеции внес на рассмотрение проект резолюции, озаглавленный «Оказание государствам помощи в пресечении незаконного оборота и в сборе стрелкового оружия» (А/С.1/58/L.51).
Before diesel engines came into widespread use, a similar system, using a petrol engine and called petrol–electric or gas–electric, was sometimes used.	Перед тем как дизельные двигатели пришли в широкое использование, аналогичной системе, используя бензин (бензин) двигатель и называется бензин-электрический или газовый электрический, иногда используется.
2005 heads of mission conference held	Проведение в 2005 году совещания руководителей миссий
During the Taliban &apos; s August 1998 capture of MazarISharif in northwestern Afghanistan, there were reports that &quot; young women were abducted by the Taliban from a number of neighbourhoods in MazarISharif and that their whereabouts were unknown.	Поступили сообщения о том, что при взятии талибами Мазари-Шарифа на северо-западе Афганистана в августе 1998 года &quot; талибы похитили молодых женщин из ряда окрестностей Мазари-Шарифа, и их местонахождение неизвестно.
Between 19 and 21 August, the Meeting of Experts held a number of sessions devoted to national, regional and international measures to improve biosafety and biosecurity, including laboratory safety and security of pathogens and toxins (agenda item 5).	С 19 по 21 августа Совещание экспертов провело ряд заседаний, посвященных теме: национальные, региональные и международные меры по совершенствованию биобезопасности и биозащищенности, включая лабораторную безопасность и защищенность патогенов и токсинов (пункт 5 повестки дня).
The program ends in 2018, Kiev is unlikely in such a short period to get all $ 8 billion remaining in the bailout package.	Действие программы заканчивается в 2018 году, Киев вряд ли сможет за такой короткий период получить все 8 миллиардов долларов, оставшихся в пакете помощи.
UNMIK staff maintain frequent contacts with their Kosovo counterparts at the working level and my Special Representative occasionally has meetings at the senior level.	Персонал МООНК поддерживает частые рабочие контакты со своими косовскими коллегами, и мой Специальный представитель иногда проводит встречи на высоком уровне.
“Life really is generous to those who pursue their destiny”	«Жизнь щедра к тем, кто следует своей судьбе»
"Music should always be like that."	Музыка и должна быть такой».
"ARKADA" trading complex	"АРКАДА" торговый комплекс
The most influential racing game was released in 1982: Pole Position, developed by Namco and published by Atari in North America.	Одной из игр, оказавших на жанр наибольшее виляние, стала выпущенная в 1982 году игра Pole Position, разработанная Namco и изданная в Северной Америке Atari.
Therefore, reduced or disrupted sleep—especially if it occurs at key times in development—could have important impacts on health throughout life."	"Таким образом, уменьшение или нарушение сна - особенно, если это происходит в ключевые моменты развития ребенка - может иметь значительные последствия для здоровья на протяжении всей жизни».
I forgot the phone at home.	- Я телефон дома забыл.
Pavlensky said his action 'Threat' should be regarded "as a gesture in the face of terrorism."	Сам Павленский пояснил, что его акцию надо рассматривать "как жест в лицо терроризму".
Home / Our production / Mayonnaise / Salatniy	Главная / Наша продукция / Майонез / Салатний
Conformity between the two formats is ensured by the fact that the CAN controllers which support the extended format can also communicate in standard format.	Соответствие между двумя форматами обеспечивается тем фактом, что CAN-контроллеры, которые поддерживают расширенный формат, могут также обмениваться данными в стандартном формате
GUM was opened in 1951, and it was the first large department store.	ГУМ открыли в 1951 году, и это был первый в городе большой универсальный магазин.
Wegener and his colleague F. Leve and Greenlander Rasmus Willumsen drove the dog teams on Eismitt through half of Greenland at the end of September.	И Вегенер со своим коллегой Ф. Леве и гренландцем Расмусом Виллумсеном в конце сентября погнали собачьи упряжки на Айсмитте через половину Гренландии.
Liberal Democratic Party of Moldova — 18 seats;	Либерал-демократическая партия Молдовы — 18 мандатов;
But the policy of the proletariat in the national question (as in other questions) supports the bourgeoisie only in a definite direction; it never coincides with the policy of the bourgeoisie.	Но политика пролетариата в национальном вопросе (как и в остальных вопросах) лишь поддерживает буржуазию в определенном направлении, но никогда не совпадает с ее политикой.
There are only three traffic lights and they are all situated in the capital city of the country, Torshavn.	На Фарерских островах всего три светофора, все они расположены в столице страны, Торсхавне.
Diploptichesky treatment assumes recovery under natural conditions.	Диплоптическое лечение предполагает восстановление при естественных условиях.
Ceres was considered a planet when it was discovered in the 19th century, but was reclassified as an asteroid in the 1850s as further observation revealed additional asteroids.[49] It was again reclassified in 2006 as a dwarf planet.	Цереру считали планетой, когда она была обнаружена в XIX столетии; но поскольку, дальнейшие наблюдения обнаружили дополнительные астероиды, она была классифицирована как астероид в 1850г.
There are many more practical options.	Есть намного более практичные варианты.
As economist George Magnus wrote in his recent book “Red Flags,” “complex middle-income countries such as China have, by definition, exhausted much if not most of the potential to get growth by deploying and exploiting physical capital and labour.”	Как написал экономист Джордж Магнус в своей последней книге “Тревожные сигналы” (Red Flags), “страны со средним уровнем дохода, такие как Китай, по определению, исчерпали большую часть, если уже не весь свой потенциал для обеспечения роста путем расширения и эксплуатации физического капитала и рабочей силы”.
It is obvious that this specific feature of the new tax law has been due to a backlog of questions relating to enforcement of the tax rules in these two industries, and, to a certain extent, the novations recently introduced into Kazakhstan legislation on subsoil and subsoil use.	Очевидно, что эта особенность нового налогового законодательства вызвана накопившимися вопросами в правоприменении налоговых норм в этих двух отраслях, а также, в некоторой степени, новациями, внесенными недавно в казахстанское законодательство о недрах и недропользования.
Weiss’s novels have been published in America and Europe, and translated into 27...	Романы Вейса публиковались в США и Европе и были переведены на 27 языков.
This type is commonly used in pressurized lines, steam, liquid or gas, but can also be applied in vacuum or suction situation.	Этот тип обычно используется в линиях под давлением, пара, жидкости или газа, но также может применяться в условиях вакуума или всасывания.
Home / Greece / Crete / Chania / Tasos	Главная страница / Греция / Крит / Ханья / Tasos
Tyre weight: 7.9 kg	Вес шины: 7.9 kg
and the related report of the Advisory Committee on Administrative and Budgetary Questions, A/51/448.	и соответствующий доклад Консультативного комитета по административным и бюджетным вопросам A/51/448.
Below are the distances and journey times for travelling from the airport to the main tourist attractions in Paris and the surrounding area:	Ниже указаны расстояния и время в пути от аэропорта до основных туристических достопримечательностей Парижа и его окрестностей:
Ready to be assigned on shifting work schedule (Day/Night).	Готовность к работе в сменном графике (день/ночь).
Reception of the President of the Council of Ministers of the Republic of Uzbekistan A. Alimov, viewing the mosques of the city of Tashkent, the cotton fields of the collective farm "Kyzyl Uzbekistan.	Прием у Председателя Совета Министров Узбекской Республики А. А. Алимова; осмотр мечетей города Ташкента, хлопковых полей колхоза "Кзыл Узбекистан".
Many foreign skilled workers who come to Canada on work permits can eventually qualify for fast-track Canadian Immigration (Permanent Residence) through one of the Provincial Nominee Programs, the Canadian Experience Class, or Arranged Employment.	Многие иностранные квалифицированные работники, которые приезжают в Канаду с разрешениями на работу, могут в конечном итоге получить право на ускоренную иммиграцию в Канаду (постоянное проживание) через одну из провинциальных программ выдвижения кандидатов, канадский класс опыта или устроенную работу.
Although the decline occurred at different rates, the overall rate is now at 7.4 % for the whole 2013.	Хотя снижение происходило разными темпами, общий показатель стал равен 7,4 % за весь 2013 год.
On February 21, 2014, after thirteen years of being the most wanted man in Mexico (despite frequent appearances at restaurants, concerts, and holiday parties), Guzmán was recaptured.	21 февраля 2014-го после 13 лет пребывания в статусе «Самый разыскиваемый человек Мексики» (несмотря на многочисленные появления на публике в ресторанах, на концертах и частных вечеринках) Гусман был схвачен во второй раз.
Today, the Vacu Vin product range has proven its success by being granted over 20 international Design and Trade Awards.	Успешность ассортиментного ряда товаров Vacu Vin подтверждается более чем 20 международными наградами в области дизайна и торговли.
(b) Take all necessary measures to allow family reunification for children in residential care centres;	b) принять все необходимые меры, с тем чтобы дети, находящиеся в учреждениях интернатного типа, могли воссоединиться со своими семьями;
Are you now caring for someone?	Вы сейчас за кем-то ухаживаете?
How to get adequate amount of B12?	Как получать достаточное количество B12?
She was born in Indonesia.	Она родилась в Индонезии.
They could be listed right now, although the success or failure of any large-scale project can only be judged in a 25-year horizon.	Их можно перечислить и сейчас, но о настоящем успехе или неуспехе любого масштабного проекта можно судить лишь на горизонте 25 лет.
The Ministry of Housing and the Land Development Authority of Montserrat identified 808 families still requiring housing.	Министерство жилищного строительства и Управление по освоению земель Монтсеррата определили 808 семей, которые попрежнему нуждаются в жилье.
F. Noise 220. There is increasing concern among scientists and conservationists that noise pollution poses a significant and, at worst, lethal threat to whales and dolphins and other marine wildlife.	220. Среди ученых и людей, борющихся за охрану природы, растет обеспокоенность по поводу той значительной, а подчас и смертельной угрозы, которую создает для китов, дельфинов и других диких обитателей моря зашумление.
UNIDO has contributed to the process of intergovernmental consultations through its hosting in Vienna of the March 2008 event on “United Nations system-wide coherence: the next steps” and by providing information on various aspects of system-wide coherence requested by Member States and by the Co-Chairs of the informal consultations of the General Assembly.	ЮНИДО внесла вклад в процесс межправительственных консультаций, организовав в Вене в марте 2008 года мероприятие "Согласованность в системе Организации Объединенных Наций: последующие меры" и представив информацию по различным аспектам общесистемной согласованности, запрошенную государствами-членами и сопредседателями неофициальных консультаций Генеральной Ассамблеи.
Weight about 45kg	Вес о 45кг
The grouts in these colours require more careful and more frequent cleaning during laying.	Затирки таких цветов требуют более осторожной и частой очистки во время укладки.
Not against them	Против них нет
Make sure that you get a written estimate that lists the costs of materials, labor costs, and anything else that will figure into the cost of the home.	Убедитесь, что вы получите письменную смету, в которой перечислены расходы на материалы, трудозатраты и все остальное, что будет учитываться в стоимости дома.
The electric currents are carried by negative (electrons) and positive charge carriers (holes) performing so called intraband motions in various electronic bands of the semiconductor.	Эти электрические тока переносятся отрицательными (электроны) и положительными носителями заряда (дырки) , осуществляющих так называемые внутризонными движения в различных электронных зонах полупроводника.
According to the survey respondents, growth in the Russian insurance market will slow down in 2014: for all lines except life insurance, the rate of growth will not exceed 10 percent, while the life insurance market will increase by 25-30 percent as a result of the rapid expansion of mortgage lending.	По мнению участников опроса, в 2014 году темп роста российского страхового рынка замедлится: по всем продуктам, кроме страхования жизни, темп роста не превысит 10%, тогда как рынок страхования жизни будет расти на 25–30% за счет активного развития ипотечного кредитования.
Not to be confused with European Political Cooperation.	Не следует путать с Европейское политическое сотрудничество.
She hadn’t heard him enter the room.	Она не услыхала, как мы вошли в комнату.
"Russia wants to have sound, equal and friendly relations with the USA.	«Россия хочет иметь полноценные, равноправные и дружеские отношения с США.
This isn't my fight.	Это не моя битва.
It is predicted that the rate will be raised from 2.00% to 2.25%.	Прогнозируется, что ставка будет повышена с 2,00% до 2,25%.
– We do not focus on how to run a lot of projects, we focus on how to improve our services and make our overall service Game 4 is better. By September, he will undergo so many changes that it’s hard to imagine.	— Мы не сосредоточены на том, чтобы запускать много проектов, мы сосредоточены на том, чтобы улучшать наши сервисы и делать наш общий сервис 4 Game лучше. К сентябрю он претерпит столько изменений, что даже сложно представить.
Exceptions to this rule are few and exotic.	Исключения из этого правила немногочисленны и экзотичны.
“You know I’m on your side, right?	– Ты же знаешь, что я на твоей стороне, правда?
Work on 3D models of ships and vessels in close contact with designers;	- работы по 3D-моделям судов и кораблей в тесном контакте с проектантами.
A wood lathe is a small, simple device used exclusively for working with wooden materials.	Древесный токарный станок представляет собой небольшое, простое устройство, используемое исключительно для работы с деревянными...
We have a rather difficult trip to Zanskar and we need to go through acclimatization according to the full program, so that then during the photo tour the participants can safely take pictures for 10-12 hours a day.	Нам предстоит достаточно сложное путешествие в Занскар и нам надо пройти акклиматизацию по полной программе, так, чтобы потом во время фототура участники могли спокойно фотографировать по 10-12 часов в день.
I remember how happily Americans were let into the most secret military facilities, how for their sake aircraft, missiles, submarines and other achievements of my homeland were cut to pieces.	Я помню, как американцев с радостью пускали на самые секретные военные об‘екты, как, в угоду им, резали на куски самолеты, ракеты, подлодки и прочие достижения моей Родины.
Ten years later, after the fall of the USSR, in the new Armenia.	Спустя 10 лет после распада СССР в новой Армении
The Soviet Union fell apart of its own accord because it could not support itself ideologically or economically.	Советский Союз распался сам собой, потому что не мог поддерживать себя ни идеологически, ни экономически.
They are complemented by many other events, in a festival that combines sports, entertainment, ethnography and Madeira’s culture.	Дополнением к этим мероприятиям станут многие другие, ассоциирующиеся со спортом, развлечениями, этнографией и культурой Мадейры.
Scotland's legal system is separate from that of England and Wales.	Правовая система Шотландии отделена от правовой системы Англии и Уэльса.
I don't think there is a stand, but thank you, Zoey.	Не думаю, что там есть трибуна, но спасибо, Зои.
Putting aside the idea that Joanna lives with two industrial air filters to clear her studio apartment of the pollution, "Working in Beijing I felt I had a more manageable pace of life.	Отбросив идею о том, что Джоанна живет с двумя промышленными воздушными фильтрами, чтобы очистить свою студию квартире загрязнения, «Работая в Пекине, я чувствовал, что у меня есть более управляемый темп жизни.
It is a historical fact that no country in the Eurasian region has a closer strategic relationship with Israel than Azerbaijan.	Ныне это исторический факт, что ни одна край в Евразии не имеет более тесных и глубоких стратегических взаимоотношений с Израилем, чем Азербайджан.
Parts of the palace exterior are under renovation.	Часть помещений дворца находится на реставрации.
Drugs and dosage for the treatment of children are selected with special care, trying to minimize the toxic effect of drugs.	Препараты и дозировку для лечения детей подбирают с особой тщательностью, стараясь минимизировать токсическое действие лекарств.
“Without them, our communities would’ve been broken.”	«Без них наши сообщества были бы разрушены».
1,000 MW thermal power plant consumes 8 million tonnes per year of oxygen for the oxidation of the fuel, the plant did not consume oxygen at all.	ТЭС мощностью 1000 МВт потребляет в год 8 млн. т кислорода для окисления топлива, АЭС не потребляет кислорода вообще.
What If I had done more?	А если я что-то сделал большее?
The annual reports of the Executive Director to the Executive Board in 2008 and 2010 will summarize overall progress and the main trends.	В ежегодных докладах Директора-исполнителя, которые будут представлены Исполнительному совету в 2008 и 2010 годах, будут подытожены общие результаты и основные тенденции.
By the end of the 90s it was the first attempt to hold poker tournaments, but it did not get the widespread popularity at the time.	К концу 1990-х годов были первые попытки проведения турниров по покеру, но широкой популярности на тот момент они не получили.
In 1940, she formed The Dunham Dance Company, an all-black dance troupe, and developed an entirely new dance form, the ‘Dunham technique’.	В 1940 году Кэтрин основала Dunham Dance Company, танцевальный коллектив из чернокожих исполнителей, после чего ей была разработана совершенно новая форма танца, так называемая «Данхэмская техника».
B. Global Infrastructure Facilitating Trade: creating funding sources in and with the private sector for the United Nations Trade Point Development Centre	B. Глобальная инфраструктура содействия торговле: создание источников финансирования Центра Организации Объединенных Наций по развитию торговых центров в частном секторе и при его
Focusing on developing export markets alone is not sufficient.	Сосредоточения внимания на развитии экспортных рынков явно недостаточно.
Germany Korea Participation	Германии Кореи Участие
They are great communicators and like to talk.	Они важные ораторы и любят общение.
This year you are visiting us and, of course, I feel this is very important for the entire orthodox world.	В этом году Вы у нас в гостях, и, конечно, мне кажется, это имеет большое значение для всего православного мира.
== 2008 Presidential campaign ==On December 11, 2006 in a speech delivered at Cleveland City Hall, Kucinich announced he would seek the nomination of the Democratic Party for President in 2008.	== Президентская кампания 2008 года ==11 декабря 2006 года, в речи, произнесённой в Городском холле Кливленда, Деннис Кусинич объявил, что будет бороться за право стать кандидатом от Демократической партии на президентских выборах 2008 года.
The falling showers gleamed like silver, and far away the river glittered like a shimmering glass.	Падающие струи сверкали, как серебро, а далеко, как гладкое стекло, блестела река.
The Congress of Local and Regional Authorities of the Council of Europe notes :	Конгресс местных и региональных властей Совета Европы, ссылаясь на:
Solomon was the last king of a united Israel.	Соломон - последний царь единого Израильского царства.
Setting your expectations correctly from the beginning will help you evaluate the effectiveness and ROI from the SEO investment you will make.	Правильный расчет ваших ожиданий с самого начала поможет вам оценить эффективность и рентабельность инвестиций в SEO-инвестиции, которые вы сделаете.
A: We usually accept PAYPAL,T/T as the main payment term, and other payments can also be negotiated.	А: Мы обычно принимаем ПАИПАЛ, Т/Т как основное условие оплаты, и другие оплаты можно также обсудить.
According to the Chairman of the Board, Andriy Radchenko, such actions of law enforcement bodies have no good reason, and the work of the company will be restored in the nearest future.	Как сообщает председатель правления Андрей Радченко, такие действия правоохранительных органов являются безосновательными, и работа предприятия будет восстановлена в ближайшее время.
This is the lowest temperature recorded on the Earth ever since.	Это самая низкая температура когда-либо зафиксированная на Земле.
Whether in a week or 20 years.	Через неделю или через 20 лет.
The 1921 Treaty between the Russian Soviet Federative Socialist Republic and Iran and the 1940 Agreement between the Union of Soviet Socialist Republics and Iran, covering questions relating to navigation and fisheries, do not regulate questions relating to the use of the mineral resources of the Caspian Sea.	Договоры между Российской Советской Федеративной Социалистической Республикой и Ираном от 1921 года и Союзом Советских Социалистических Республик и Ираном от 1940 года, рассматривающие вопросы судоходства и рыболовства, не регулируют вопросы использования минеральных ресурсов Каспия.
As in the Pixel 2, there is no analog headphone Jack, but increased viewing modes – now is not IP67, and IP68.	Как и в Pixel 2, здесь нет аналогового разъема для наушников, зато повысился класс влагозащиты – теперь не IP67, а IP68.
the Communist Party 's	из Коммунистической партии
Shortest duration of illness was 5 months and longest 12 years.	Самая короткая продолжительность болезни составляла 6 месяцев, самая длинная - 25 лет.
These two documents have laid a mechanism of mutual trust in military field in border areas, have contributed to the establishment of true partnership.	Эти два документа заложили механизм взаимного доверия в военной области в приграничных районах, способствовали установлению поистине партнѐрских отношений.
Birmingham based MobileFun.co.uk is the UK's leading internet retailer for "everything mobile"; offering a range of mobile phones, mobile phone accessories, ringtones and mobile java games.	MobileFun.co.uk, базирующийся в Бирмингеме, является ведущим в Великобритании интернет-магазином «все для мобильных устройств», предлагающим широкий спектр мобильных телефонов, аксессуаров для мобильных телефонов, мелодий звонка и мобильных java-игр.
The basic methodological categories are analyzed (approach, principle of training, purpose, content of training, methods and techniques, forms of training), which are presented in retrospective and perspective aspects.	Проанализированы базисные методические категории (подход, принцип обучения, цель, содержание обучения, методы и приемы, формы обучения), которые представлены в ретроспективном и перспективном аспектах.
The TARDIS, now!	ТАРДИС, сейчас!
This is a very complex undertaking, but it is expected to be completed this year.	Это очень сложное мероприятие, но его планируется завершить в текущем году.
In the fight against disease, sport always helped me.	В борьбе с болезнями спорт всегда помогал мне.
On May 26, 2010, it was reported in a column on Deadline Hollywood and by Entertainment Weekly that Page will star in the new HBO series Tilda alongside Diane Keaton, who plays the title role.	26 мая 2010 года в одной из колонок «Deadline Hollywood», а также в Entertainment Weekly было сообщено, что Пейдж появится в новом сериале телеканала HBO «Тильда» (англ.) вместе с Дайан Китон, которая исполнит главную роль.
"In terms of reconfigurable metamaterials, the design space is incredibly large and so the challenge is to come up with smart strategies to explore it," says Katia Bertoldi, John L. Loeb Associate Professor of the Natural Sciences at SEAS.	«Что касается реконфигурируемых метаматериалов, проектные пространства невероятно велики, и поэтому задача состоит в разработке умных стратегий для ее изучения», - сказала Катя Бертольди, доцент естественных наук в SEAS.
15. Reiterates its request to Member States and to interested organizations and individuals to make voluntary contributions, inter alia, for the International Law Seminar, for the fellowship programme in international law, for the Hamilton Shirley Amerasinghe Memorial Fellowship on the Law of the Sea and for the United Nations Audiovisual Library in International Law, and expresses its appreciation to those Member States, institutions and individuals which have made voluntary contributions for this purpose;	15. вновь обращается с просьбой к государствам - членам, заинтересованным организациям и частным лицам делать добровольные взносы, в частности для финансирования Семинара по международному праву, программы стипендий в области международного права, стипендий имени Гамильтона Ширли Амерасингхе в области морского права и Аудиовизуальной библиотеки Организации Объединенных Наций по вопросам международного права, и выражает признательность тем государствам-членам, учреждениям и частным лицам, которые внесли добровольные взносы в этих целях;
A few come in variations with 128-, 256-, or 512GB, but you’ll have to pay a handsome sum for those.	Некоторые могут иметь 128, 256 или 512 Гб, но и стоить это будет не дешево.
Indeed, we recognize that in recent years, the United States has granted some American companies licences to supply medicines and foodstuffs to Cuba on purely humanitarian grounds.	Мы признаем, что за последние годы Соединенные Штаты дали некоторым американским компаниям лицензию для поставки лекарств и продуктов питания на Кубу на чисто гуманитарной основе.
He often appears with his sidekick Porky Pig and is shown to be a jealous rival of Bugs Bunny.	Он часто появляется со своим напарником Свиньей Порки и, как показывают, является ревнивым конкурентом Кролика Багса.
He doesn’t have a weak part to his game.”	У него нет слабостей в игре».
As the name suggests, a mobile-friendly content just means that content appears well not just on desktop computers but also on smaller mobile devices.	Как следует из названия, контент для мобильных устройств означает, что контент хорошо выглядит не только на настольных компьютерах, но и на небольших мобильных устройствах.
It was first introduced in 1955, the same year as Smith & Wesson's M29 .44 Magnum. — In-game description	Впервые был представлен в 1955 году вместе с Smith & Wesson’s M29 .44 Magnum. ...
295. Another insidious symptom of the lack of social integration is domestic violence.	295. Еще одним скрытым симптомом отсутствия социальной интеграции является бытовое насилие.
In 1965, Caterpillar acquired the company Lester started - Towmotor – and formed Cat® Lift Trucks.	В 1965 году Caterpillar выкупила компанию Towmotor основанную Лестером и основана свою Cat Lift Trucks.
Proud of our University	Гордость нашего университета
There are four female candidates.	Из кандидатов - четыре женщины.
She ain't with you, I know where she is.	Она не с тобой, я знаю, где она.
- Developing and strengthening trade and economic relations between regions, share experiences and establish new business contacts;	– Развитие и укрепление торгово-экономических связей между регионами, обмен опытом и установление новых деловых контактов;
We laughed about it later, but it was frightening.	Позже мы над этим смеялись, но это было страшно.
With age, women exit the risk zone, and men become more prone to thyroid cancer.	С возрастом женщины выходят из зоны риска, а мужчины становятся более подверженными заболеванию рака щитовидной железы.
The appellate court stated that in the case of perishable goods a lack of conformity had to be notified within 24 hours according to article 39 (1) CISG.	Апелляционный суд определил, что в соответствии со статьей 39 (1) КМКПТ в случае портящихся товаров о факте несоответствия должно быть сообщено в течение 24 часов.
Specialization of the system’s functions.	Специализация функций системы.
“On Ukraine, Mr. Trump must also display determination.	По поводу Украины Трамп также должен продемонстрировать решимость.
Let’s take a look at how some of them operate.	Рассмотрим, как работают некоторые из них.
Vlad: I do not know, I just train. to health.	влад: не знаю, просто тренируюсь. для здоровья.
- But I-- okay.	- Но я... ладно.
Very often, patients with psoriasis note a positive effect on the skin namely ccp.	Очень часто больные псориазом отмечают положительное действие на кожу именно сцп.
52. Finally, the Nigerian delegation should clarify whether the Standard Minimum Rules for the Treatment of Prisoners applied to those held both in prisons and in military camps.	52. Наконец, нигерийской делегации следует пояснить, применяются ли Минимальные стандартные правила обращения с заключенными в отношении лиц, содержащихся как в тюрьмах, так и в военных лагерях.
FÁS, the Training and Employment Authority established in 1988, delivers an extensive range of training through its network of 20 Training Centres and contracted training providers spread throughout the 8 FÁS regions in Ireland.	113. Управление профессиональной подготовки и занятости (ФАС), созданное в 1988 году, обеспечивает подготовку по широкому кругу специальностей через сеть из 20 учебных центров и образовательных учреждений, действующих на основании заключенных контрактов, в 8 регионах Ирландии, находящихся под контролем ФАС.
